                  20                 160
                   0                   0        0.5017321483
                   0                   1        0.4466155506
                   0                   2        0.3959457000
                   0                   3        0.3624885200
                   0                   4        0.3230587285
                   0                   5        0.3015667959
                   0                   6        0.2689511932
                   0                   7        0.2455042101
                   0                   8        0.2276677848
                   0                   9        0.2128015435
                   0                  10        0.1998826509
                   0                  11        0.1831247164
                   0                  12        0.1713348439
                   0                  13        0.1598716236
                   0                  14        0.1565892083
                   0                  15        0.1421196374
                   0                  16        0.1352421039
                   0                  17        0.1323745275
                   0                  18        0.1278526560
                   0                  19        0.1226665504
                   0                  20        0.1255807015
                   0                  21        0.1116221950
                   0                  22        0.1049462585
                   0                  23        0.0974115397
                   0                  24        0.0927255326
                   0                  25        0.0899106193
                   0                  26        0.0849065126
                   0                  27        0.0776689729
                   0                  28        0.0725906246
                   0                  29        0.0654527537
                   0                  30        0.0615891442
                   0                  31        0.0561551029
                   0                  32        0.0541605475
                   0                  33        0.0486778343
                   0                  34        0.0466029470
                   0                  35        0.0446971548
                   0                  36        0.0464324497
                   0                  37        0.0499184352
                   0                  38        0.0422384104
                   0                  39        0.0403093464
                   0                  40        0.0387093423
                   0                  41        0.0365386413
                   0                  42        0.0368708101
                   0                  43        0.0364907298
                   0                  44        0.0364218696
                   0                  45        0.0408036919
                   0                  46        0.0344560375
                   0                  47        0.0335684561
                   0                  48        0.0310818626
                   0                  49        0.0319074516
                   0                  50        0.0322648782
                   0                  51        0.0303821106
                   0                  52        0.0284700100
                   0                  53        0.0308878005
                   0                  54        0.0322156593
                   0                  55        0.0285201808
                   0                  56        0.0285151529
                   0                  57        0.0295136458
                   0                  58        0.0299076257
                   0                  59        0.0280048386
                   0                  60        0.0256054671
                   0                  61        0.0232134233
                   0                  62        0.0201086918
                   0                  63        0.0212347572
                   0                  64        0.0202279328
                   0                  65        0.0204768209
                   0                  66        0.0201320038
                   0                  67        0.0192346225
                   0                  68        0.0177135978
                   0                  69        0.0176576111
                   0                  70        0.0180705033
                   0                  71        0.0155186787
                   0                  72        0.0169768993
                   0                  73        0.0189666732
                   0                  74        0.0203725865
                   0                  75        0.0189280523
                   0                  76        0.0152972624
                   0                  77        0.0163363363
                   0                  78        0.0146138764
                   0                  79        0.0165685677
                   0                  80        0.0143223834
                   0                  81        0.0153046802
                   0                  82        0.0166821113
                   0                  83        0.0130788556
                   0                  84        0.0143982096
                   0                  85        0.0153714133
                   0                  86        0.0129317471
                   0                  87        0.0129422327
                   0                  88        0.0113472211
                   0                  89        0.0133854961
                   0                  90        0.0143822024
                   0                  91        0.0145578619
                   0                  92        0.0158916402
                   0                  93        0.0163990977
                   0                  94        0.0144392379
                   0                  95        0.0136784749
                   0                  96        0.0176882944
                   0                  97        0.0174364997
                   0                  98        0.0168348650
                   0                  99        0.0173319338
                   0                 100        0.0200870195
                   0                 101        0.0175098725
                   0                 102        0.0186147345
                   0                 103        0.0192329420
                   0                 104        0.0213161373
                   0                 105        0.0218790643
                   0                 106        0.0233176567
                   0                 107        0.0236638235
                   0                 108        0.0256906974
                   0                 109        0.0273773693
                   0                 110        0.0265619602
                   0                 111        0.0278751510
                   0                 112        0.0272680874
                   0                 113        0.0260745946
                   0                 114        0.0273200422
                   0                 115        0.0271750170
                   0                 116        0.0278337464
                   0                 117        0.0306514849
                   0                 118        0.0335118600
                   0                 119        0.0368437775
                   0                 120        0.0396062819
                   0                 121        0.0382164357
                   0                 122        0.0396133520
                   0                 123        0.0387733611
                   0                 124        0.0440858964
                   0                 125        0.0442528462
                   0                 126        0.0434346873
                   0                 127        0.0412189204
                   0                 128        0.0430381710
                   0                 129        0.0532871605
                   0                 130        0.0559270935
                   0                 131        0.0578056243
                   0                 132        0.0568073372
                   0                 133        0.0611728480
                   0                 134        0.0666777188
                   0                 135        0.0699275490
                   0                 136        0.0735706255
                   0                 137        0.0771773137
                   0                 138        0.0842666996
                   0                 139        0.0927621073
                   0                 140        0.1021998982
                   0                 141        0.1064816329
                   0                 142        0.1105459236
                   0                 143        0.1196633399
                   0                 144        0.1243536267
                   0                 145        0.1334036547
                   0                 146        0.1450992164
                   0                 147        0.1598059412
                   0                 148        0.1719873517
                   0                 149        0.1836185167
                   0                 150        0.1942200617
                   0                 151        0.2118038647
                   0                 152        0.2309785622
                   0                 153        0.2475558448
                   0                 154        0.2682704141
                   0                 155        0.2939341846
                   0                 156        0.3236705197
                   0                 157        0.3624740389
                   0                 158        0.3952791411
                   0                 159        0.4447184498
                   1                   0        0.4915502043
                   1                   1        0.4446345833
                   1                   2        0.4007263836
                   1                   3        0.3623241727
                   1                   4        0.3376822684
                   1                   5        0.3048451168
                   1                   6        0.2837319731
                   1                   7        0.2543850542
                   1                   8        0.2363674542
                   1                   9        0.2187287868
                   1                  10        0.2069837671
                   1                  11        0.1878597822
                   1                  12        0.1720543122
                   1                  13        0.1550969932
                   1                  14        0.1437486032
                   1                  15        0.1320947813
                   1                  16        0.1237327354
                   1                  17        0.1153968629
                   1                  18        0.1112881459
                   1                  19        0.1028819937
                   1                  20        0.0959802599
                   1                  21        0.0928031007
                   1                  22        0.0872667419
                   1                  23        0.0847066900
                   1                  24        0.0812930804
                   1                  25        0.0770688733
                   1                  26        0.0695234031
                   1                  27        0.0628272874
                   1                  28        0.0607873171
                   1                  29        0.0629048139
                   1                  30        0.0585925450
                   1                  31        0.0584801680
                   1                  32        0.0562310480
                   1                  33        0.0574548680
                   1                  34        0.0548231541
                   1                  35        0.0510776141
                   1                  36        0.0504542171
                   1                  37        0.0442144200
                   1                  38        0.0438985931
                   1                  39        0.0467870421
                   1                  40        0.0407347008
                   1                  41        0.0392264709
                   1                  42        0.0377390982
                   1                  43        0.0372106221
                   1                  44        0.0350350940
                   1                  45        0.0354577142
                   1                  46        0.0291061324
                   1                  47        0.0320902740
                   1                  48        0.0272733445
                   1                  49        0.0267778298
                   1                  50        0.0268424300
                   1                  51        0.0242277752
                   1                  52        0.0253043623
                   1                  53        0.0261571590
                   1                  54        0.0246091104
                   1                  55        0.0230175059
                   1                  56        0.0226936413
                   1                  57        0.0241110422
                   1                  58        0.0236322535
                   1                  59        0.0228826548
                   1                  60        0.0229822433
                   1                  61        0.0255902258
                   1                  62        0.0250447605
                   1                  63        0.0227769065
                   1                  64        0.0225229193
                   1                  65        0.0248522149
                   1                  66        0.0227346599
                   1                  67        0.0203888420
                   1                  68        0.0207374420
                   1                  69        0.0216812714
                   1                  70        0.0207937880
                   1                  71        0.0195749592
                   1                  72        0.0213047242
                   1                  73        0.0194624078
                   1                  74        0.0210748855
                   1                  75        0.0226438022
                   1                  76        0.0207090416
                   1                  77        0.0212016338
                   1                  78        0.0211782490
                   1                  79        0.0192639697
                   1                  80        0.0194432686
                   1                  81        0.0226577946
                   1                  82        0.0236144395
                   1                  83        0.0203592901
                   1                  84        0.0222493407
                   1                  85        0.0198745660
                   1                  86        0.0188528641
                   1                  87        0.0200796147
                   1                  88        0.0212457637
                   1                  89        0.0206488343
                   1                  90        0.0201623111
                   1                  91        0.0164299202
                   1                  92        0.0154959579
                   1                  93        0.0167099795
                   1                  94        0.0153302149
                   1                  95        0.0170855568
                   1                  96        0.0177015270
                   1                  97        0.0195848418
                   1                  98        0.0197692632
                   1                  99        0.0215617013
                   1                 100        0.0229427069
                   1                 101        0.0218358932
                   1                 102        0.0209391607
                   1                 103        0.0219983275
                   1                 104        0.0209214809
                   1                 105        0.0238626621
                   1                 106        0.0256215304
                   1                 107        0.0274703737
                   1                 108        0.0274938344
                   1                 109        0.0278120133
                   1                 110        0.0274930302
                   1                 111        0.0283168466
                   1                 112        0.0238456169
                   1                 113        0.0282357828
                   1                 114        0.0256409058
                   1                 115        0.0252550344
                   1                 116        0.0193836804
                   1                 117        0.0220453570
                   1                 118        0.0230014529
                   1                 119        0.0271218462
                   1                 120        0.0245221047
                   1                 121        0.0244509422
                   1                 122        0.0297045329
                   1                 123        0.0280349674
                   1                 124        0.0282825554
                   1                 125        0.0310574714
                   1                 126        0.0315520438
                   1                 127        0.0394217530
                   1                 128        0.0479634645
                   1                 129        0.0593589623
                   1                 130        0.0685731748
                   1                 131        0.0773949701
                   1                 132        0.0892947803
                   1                 133        0.1089959368
                   1                 134        0.1398902710
                   1                 135        0.1174718524
                   1                 136        0.0991471185
                   1                 137        0.0903176082
                   1                 138        0.0869432310
                   1                 139        0.0865193577
                   1                 140        0.0874553829
                   1                 141        0.0907495957
                   1                 142        0.1034439499
                   1                 143        0.1129540180
                   1                 144        0.1127951958
                   1                 145        0.1245779680
                   1                 146        0.1356818191
                   1                 147        0.1470536518
                   1                 148        0.1558868348
                   1                 149        0.1707159135
                   1                 150        0.1873307269
                   1                 151        0.2042405907
                   1                 152        0.2154024365
                   1                 153        0.2326891492
                   1                 154        0.2555443296
                   1                 155        0.2795895302
                   1                 156        0.3131863081
                   1                 157        0.3559404576
                   1                 158        0.4037904523
                   1                 159        0.4512197636
                   2                   0        0.4930522130
                   2                   1        0.4423143937
                   2                   2        0.4003601969
                   2                   3        0.3622176093
                   2                   4        0.3277955659
                   2                   5        0.2948669296
                   2                   6        0.2642514802
                   2                   7        0.2412208212
                   2                   8        0.2159233787
                   2                   9        0.1995673200
                   2                  10        0.1865808049
                   2                  11        0.1699430546
                   2                  12        0.1576163509
                   2                  13        0.1459414859
                   2                  14        0.1335680533
                   2                  15        0.1267429099
                   2                  16        0.1176421390
                   2                  17        0.1101866042
                   2                  18        0.1058824561
                   2                  19        0.0998515845
                   2                  20        0.0910915595
                   2                  21        0.0850869531
                   2                  22        0.0768544470
                   2                  23        0.0706609568
                   2                  24        0.0700186465
                   2                  25        0.0635946702
                   2                  26        0.0589307794
                   2                  27        0.0582612781
                   2                  28        0.0540755482
                   2                  29        0.0511116064
                   2                  30        0.0496623398
                   2                  31        0.0489379323
                   2                  32        0.0459303428
                   2                  33        0.0439767476
                   2                  34        0.0422925739
                   2                  35        0.0392303301
                   2                  36        0.0364309200
                   2                  37        0.0354555512
                   2                  38        0.0331139774
                   2                  39        0.0334558914
                   2                  40        0.0312860025
                   2                  41        0.0299880661
                   2                  42        0.0306403704
                   2                  43        0.0305927515
                   2                  44        0.0282370537
                   2                  45        0.0259002986
                   2                  46        0.0264871134
                   2                  47        0.0262742197
                   2                  48        0.0259496444
                   2                  49        0.0263373418
                   2                  50        0.0260206219
                   2                  51        0.0248158256
                   2                  52        0.0246641091
                   2                  53        0.0234565397
                   2                  54        0.0222060538
                   2                  55        0.0221280380
                   2                  56        0.0224514892
                   2                  57        0.0237816391
                   2                  58        0.0221978687
                   2                  59        0.0194390739
                   2                  60        0.0188519733
                   2                  61        0.0186246568
                   2                  62        0.0180851657
                   2                  63        0.0184931029
                   2                  64        0.0162399303
                   2                  65        0.0154125369
                   2                  66        0.0163621505
                   2                  67        0.0145383328
                   2                  68        0.0139371956
                   2                  69        0.0145433127
                   2                  70        0.0154353206
                   2                  71        0.0150174562
                   2                  72        0.0171213395
                   2                  73        0.0175129219
                   2                  74        0.0156152898
                   2                  75        0.0151582072
                   2                  76        0.0162983564
                   2                  77        0.0149783107
                   2                  78        0.0146827460
                   2                  79        0.0155429899
                   2                  80        0.0129147349
                   2                  81        0.0116985014
                   2                  82        0.0127435872
                   2                  83        0.0129385870
                   2                  84        0.0134389962
                   2                  85        0.0163318891
                   2                  86        0.0207132213
                   2                  87        0.0179644394
                   2                  88        0.0166992555
                   2                  89        0.0173616093
                   2                  90        0.0181758908
                   2                  91        0.0177646430
                   2                  92        0.0173577425
                   2                  93        0.0171479661
                   2                  94        0.0184859091
                   2                  95        0.0162948716
                   2                  96        0.0179766870
                   2                  97        0.0166391288
                   2                  98        0.0173927111
                   2                  99        0.0181023860
                   2                 100        0.0184762714
                   2                 101        0.0179935907
                   2                 102        0.0189217804
                   2                 103        0.0209519480
                   2                 104        0.0197878407
                   2                 105        0.0195229667
                   2                 106        0.0205858238
                   2                 107        0.0244652721
                   2                 108        0.0233836861
                   2                 109        0.0250006938
                   2                 110        0.0225978172
                   2                 111        0.0260659583
                   2                 112        0.0295538342
                   2                 113        0.0302719675
                   2                 114        0.0317020598
                   2                 115        0.0364945784
                   2                 116        0.0372252772
                   2                 117        0.0387548591
                   2                 118        0.0407495376
                   2                 119        0.0377768578
                   2                 120        0.0384615677
                   2                 121        0.0423638755
                   2                 122        0.0458325641
                   2                 123        0.0527152041
                   2                 124        0.0532058418
                   2                 125        0.0548201107
                   2                 126        0.0577897349
                   2                 127        0.0587824532
                   2                 128        0.0603040616
                   2                 129        0.0661923472
                   2                 130        0.0654914992
                   2                 131        0.0678843591
                   2                 132        0.0716955053
                   2                 133        0.0731909971
                   2                 134        0.0757869131
                   2                 135        0.0854142344
                   2                 136        0.0886387892
                   2                 137        0.0921958743
                   2                 138        0.0978579180
                   2                 139        0.1038502692
                   2                 140        0.1123908705
                   2                 141        0.1206467815
                   2                 142        0.1294215038
                   2                 143        0.1342797977
                   2                 144        0.1387915173
                   2                 145        0.1452107639
                   2                 146        0.1453677116
                   2                 147        0.1529404267
                   2                 148        0.1671437295
                   2                 149        0.1780302644
                   2                 150        0.1971536765
                   2                 151        0.2131611868
                   2                 152        0.2313107639
                   2                 153        0.2589351868
                   2                 154        0.2834073750
                   2                 155        0.3033276755
                   2                 156        0.3290612354
                   2                 157        0.3703027117
                   2                 158        0.4128515349
                   2                 159        0.4571516885
                   3                   0        0.5009260269
                   3                   1        0.4442577091
                   3                   2        0.3933031288
                   3                   3        0.3579242006
                   3                   4        0.3208740996
                   3                   5        0.2909010082
                   3                   6        0.2635366737
                   3                   7        0.2397751908
                   3                   8        0.2201452393
                   3                   9        0.2035908011
                   3                  10        0.1887712900
                   3                  11        0.1729991388
                   3                  12        0.1569735577
                   3                  13        0.1455167804
                   3                  14        0.1367551109
                   3                  15        0.1292178051
                   3                  16        0.1191322098
                   3                  17        0.1086229424
                   3                  18        0.0999790062
                   3                  19        0.0963799218
                   3                  20        0.0905730555
                   3                  21        0.0864233699
                   3                  22        0.0843839741
                   3                  23        0.0767210393
                   3                  24        0.0738513654
                   3                  25        0.0686214707
                   3                  26        0.0655043938
                   3                  27        0.0619720676
                   3                  28        0.0587003170
                   3                  29        0.0534182584
                   3                  30        0.0492016492
                   3                  31        0.0466222991
                   3                  32        0.0443359947
                   3                  33        0.0416705245
                   3                  34        0.0403284317
                   3                  35        0.0388143064
                   3                  36        0.0359350836
                   3                  37        0.0344344370
                   3                  38        0.0318882759
                   3                  39        0.0300289956
                   3                  40        0.0278120802
                   3                  41        0.0274078596
                   3                  42        0.0256071324
                   3                  43        0.0265949271
                   3                  44        0.0250496289
                   3                  45        0.0258449762
                   3                  46        0.0236583679
                   3                  47        0.0222144635
                   3                  48        0.0206396111
                   3                  49        0.0176781509
                   3                  50        0.0175249047
                   3                  51        0.0161888463
                   3                  52        0.0163889564
                   3                  53        0.0154273933
                   3                  54        0.0145520768
                   3                  55        0.0155124032
                   3                  56        0.0165757123
                   3                  57        0.0172487190
                   3                  58        0.0158444038
                   3                  59        0.0144536845
                   3                  60        0.0144425671
                   3                  61        0.0124384197
                   3                  62        0.0128155596
                   3                  63        0.0119367110
                   3                  64        0.0098560633
                   3                  65        0.0093661430
                   3                  66        0.0089969057
                   3                  67        0.0096156974
                   3                  68        0.0087073933
                   3                  69        0.0084325727
                   3                  70        0.0085406242
                   3                  71        0.0086912533
