                  20                 160
                   0                   0        0.0613973365
                   0                   1        0.0468653435
                   0                   2        0.0361935108
                   0                   3        0.0279932331
                   0                   4        0.0219479628
                   0                   5        0.0172500393
                   0                   6        0.0136418090
                   0                   7        0.0108900766
                   0                   8        0.0087881659
                   0                   9        0.0071497772
                   0                  10        0.0058674783
                   0                  11        0.0048005950
                   0                  12        0.0039636266
                   0                  13        0.0033043488
                   0                  14        0.0027632392
                   0                  15        0.0023220276
                   0                  16        0.0019573851
                   0                  17        0.0016565566
                   0                  18        0.0014007877
                   0                  19        0.0011916849
                   0                  20        0.0010325185
                   0                  21        0.0008905466
                   0                  22        0.0007614750
                   0                  23        0.0006536265
                   0                  24        0.0005724807
                   0                  25        0.0005073923
                   0                  26        0.0004516517
                   0                  27        0.0004041087
                   0                  28        0.0003632904
                   0                  29        0.0003280250
                   0                  30        0.0002952486
                   0                  31        0.0002571778
                   0                  32        0.0002297173
                   0                  33        0.0002041261
                   0                  34        0.0001793449
                   0                  35        0.0001563153
                   0                  36        0.0001413509
                   0                  37        0.0001238545
                   0                  38        0.0001132858
                   0                  39        0.0001075690
                   0                  40        0.0001039078
                   0                  41        0.0000994459
                   0                  42        0.0000999092
                   0                  43        0.0000975184
                   0                  44        0.0000978698
                   0                  45        0.0000982799
                   0                  46        0.0001004647
                   0                  47        0.0000965369
                   0                  48        0.0000934971
                   0                  49        0.0000910327
                   0                  50        0.0000932564
                   0                  51        0.0001014991
                   0                  52        0.0001121032
                   0                  53        0.0001163704
                   0                  54        0.0001175279
                   0                  55        0.0001175256
                   0                  56        0.0001103727
                   0                  57        0.0000980277
                   0                  58        0.0000808304
                   0                  59        0.0000643570
                   0                  60        0.0000532492
                   0                  61        0.0000432104
                   0                  62        0.0000365547
                   0                  63        0.0000361042
                   0                  64        0.0000371465
                   0                  65        0.0000357719
                   0                  66        0.0000328345
                   0                  67        0.0000265724
                   0                  68        0.0000187159
                   0                  69        0.0000165958
                   0                  70        0.0000134049
                   0                  71        0.0000128119
                   0                  72        0.0000106928
                   0                  73        0.0000053212
                   0                  74        0.0000079715
                   0                  75        0.0000134704
                   0                  76        0.0000136627
                   0                  77        0.0000100915
                   0                  78        0.0000067767
                   0                  79        0.0000063133
                   0                  80        0.0000127409
                   0                  81        0.0000127041
                   0                  82        0.0000116083
                   0                  83        0.0000133260
                   0                  84        0.0000108512
                   0                  85        0.0000142634
                   0                  86        0.0000199274
                   0                  87        0.0000202569
                   0                  88        0.0000207809
                   0                  89        0.0000228525
                   0                  90        0.0000258252
                   0                  91        0.0000279448
                   0                  92        0.0000331226
                   0                  93        0.0000362746
                   0                  94        0.0000351404
                   0                  95        0.0000320044
                   0                  96        0.0000301357
                   0                  97        0.0000276771
                   0                  98        0.0000283767
                   0                  99        0.0000277440
                   0                 100        0.0000260525
                   0                 101        0.0000219901
                   0                 102        0.0000184601
                   0                 103        0.0000214782
                   0                 104        0.0000294777
                   0                 105        0.0000341974
                   0                 106        0.0000317796
                   0                 107        0.0000323979
                   0                 108        0.0000291926
                   0                 109        0.0000305289
                   0                 110        0.0000286165
                   0                 111        0.0000296630
                   0                 112        0.0000263527
                   0                 113        0.0000301363
                   0                 114        0.0000331021
                   0                 115        0.0000348828
                   0                 116        0.0000277492
                   0                 117        0.0000261341
                   0                 118        0.0000288366
                   0                 119        0.0000347975
                   0                 120        0.0000458373
                   0                 121        0.0000638022
                   0                 122        0.0000757022
                   0                 123        0.0000900968
                   0                 124        0.0001082723
                   0                 125        0.0001253430
                   0                 126        0.0001388894
                   0                 127        0.0001469376
                   0                 128        0.0001540531
                   0                 129        0.0001642177
                   0                 130        0.0001831364
                   0                 131        0.0002117427
                   0                 132        0.0002633283
                   0                 133        0.0003197741
                   0                 134        0.0003754437
                   0                 135        0.0004311402
                   0                 136        0.0005056460
                   0                 137        0.0005936030
                   0                 138        0.0007120883
                   0                 139        0.0008346309
                   0                 140        0.0009822226
                   0                 141        0.0011438677
                   0                 142        0.0013386498
                   0                 143        0.0015991279
                   0                 144        0.0019253847
                   0                 145        0.0023438678
                   0                 146        0.0028307124
                   0                 147        0.0033875973
                   0                 148        0.0040618956
                   0                 149        0.0049111682
                   0                 150        0.0059884193
                   0                 151        0.0073592448
                   0                 152        0.0090521897
                   0                 153        0.0112162790
                   0                 154        0.0139920474
                   0                 155        0.0176318345
                   0                 156        0.0223351815
                   0                 157        0.0284687088
                   0                 158        0.0365961363
                   0                 159        0.0471480014
                   1                   0        0.0613646116
                   1                   1        0.0469814749
                   1                   2        0.0361949912
                   1                   3        0.0280100177
                   1                   4        0.0218341704
                   1                   5        0.0170675917
                   1                   6        0.0133963658
                   1                   7        0.0106591854
                   1                   8        0.0085510971
                   1                   9        0.0068605605
                   1                  10        0.0055548448
                   1                  11        0.0045273222
                   1                  12        0.0037395426
                   1                  13        0.0031303230
                   1                  14        0.0026668066
                   1                  15        0.0022789757
                   1                  16        0.0019632185
                   1                  17        0.0016902109
                   1                  18        0.0014612923
                   1                  19        0.0012827344
                   1                  20        0.0011244758
                   1                  21        0.0009935131
                   1                  22        0.0008817171
                   1                  23        0.0007719534
                   1                  24        0.0006682304
                   1                  25        0.0005872192
                   1                  26        0.0005290456
                   1                  27        0.0004778332
                   1                  28        0.0004511820
                   1                  29        0.0004237121
                   1                  30        0.0003907777
                   1                  31        0.0003610879
                   1                  32        0.0003464378
                   1                  33        0.0003306047
                   1                  34        0.0003240562
                   1                  35        0.0003109629
