                  20                  15                 160
                   0                   0                   0        0.0366365033
                   0                   0                   1        0.0384725557
                   0                   0                   2        0.0292493450
                   0                   0                   3        0.0193087262
                   0                   0                   4        0.0146355057
                   0                   0                   5        0.0100122589
                   0                   0                   6        0.0012344669
                   0                   0                   7       -0.0058015288
                   0                   0                   8       -0.0090239652
                   0                   0                   9       -0.0104629165
                   0                   0                  10       -0.0117542546
                   0                   0                  11       -0.0073735957
                   0                   0                  12       -0.0096502478
                   0                   0                  13       -0.0022224012
                   0                   0                  14       -0.0116935179
                   0                   0                  15       -0.0150358390
                   0                   0                  16       -0.0142977455
                   0                   0                  17       -0.0124040952
                   0                   0                  18       -0.0027264002
                   0                   0                  19        0.0007475940
                   0                   0                  20       -0.0021523530
                   0                   0                  21       -0.0051324389
                   0                   0                  22        0.0010107713
                   0                   0                  23       -0.0040410321
                   0                   0                  24       -0.0003172102
                   0                   0                  25       -0.0026571112
                   0                   0                  26       -0.0061921181
                   0                   0                  27       -0.0027260713
                   0                   0                  28       -0.0050407684
                   0                   0                  29       -0.0048083768
                   0                   0                  30       -0.0123206153
                   0                   0                  31       -0.0158438662
                   0                   0                  32       -0.0250411362
                   0                   0                  33       -0.0220376915
                   0                   0                  34       -0.0131199750
                   0                   0                  35       -0.0153323346
                   0                   0                  36       -0.0159755847
                   0                   0                  37       -0.0162114137
                   0                   0                  38       -0.0118480931
                   0                   0                  39       -0.0073685845
                   0                   0                  40        0.0000448729
                   0                   0                  41        0.0052498282
                   0                   0                  42        0.0076559138
                   0                   0                  43        0.0054887353
                   0                   0                  44        0.0129467319
                   0                   0                  45        0.0185144458
                   0                   0                  46        0.0187670462
                   0                   0                  47        0.0163817626
                   0                   0                  48        0.0151393212
                   0                   0                  49        0.0127066285
                   0                   0                  50        0.0046214046
                   0                   0                  51       -0.0004944653
                   0                   0                  52        0.0070720094
                   0                   0                  53        0.0010298035
                   0                   0                  54       -0.0029222180
                   0                   0                  55       -0.0025840303
                   0                   0                  56        0.0027061701
                   0                   0                  57       -0.0005920681
                   0                   0                  58       -0.0051846776
                   0                   0                  59       -0.0012146172
                   0                   0                  60       -0.0038787631
                   0                   0                  61       -0.0152640415
                   0                   0                  62       -0.0116608994
                   0                   0                  63       -0.0107842440
                   0                   0                  64       -0.0143376602
                   0                   0                  65       -0.0120134157
                   0                   0                  66       -0.0175816280
                   0                   0                  67       -0.0101703004
                   0                   0                  68       -0.0018140885
                   0                   0                  69       -0.0061228672
                   0                   0                  70       -0.0091875003
                   0                   0                  71       -0.0038762991
                   0                   0                  72        0.0004177924
                   0                   0                  73       -0.0057836165
                   0                   0                  74       -0.0026726117
                   0                   0                  75       -0.0005022019
                   0                   0                  76       -0.0160291503
                   0                   0                  77       -0.0223033162
                   0                   0                  78       -0.0180628416
                   0                   0                  79       -0.0147848554
                   0                   0                  80       -0.0053132294
                   0                   0                  81       -0.0029304140
                   0                   0                  82       -0.0110187647
                   0                   0                  83       -0.0120231848
                   0                   0                  84       -0.0046602333
                   0                   0                  85       -0.0031482154
                   0                   0                  86        0.0000281898
                   0                   0                  87       -0.0018259990
                   0                   0                  88       -0.0017801918
                   0                   0                  89       -0.0061242631
                   0                   0                  90       -0.0081089375
                   0                   0                  91       -0.0097605960
                   0                   0                  92       -0.0160887677
                   0                   0                  93       -0.0122166905
                   0                   0                  94       -0.0129137528
                   0                   0                  95       -0.0206897037
                   0                   0                  96       -0.0157420034
                   0                   0                  97       -0.0090672840
                   0                   0                  98       -0.0081488554
                   0                   0                  99       -0.0132122795
                   0                   0                 100       -0.0149647933
                   0                   0                 101       -0.0083038263
                   0                   0                 102       -0.0001805452
                   0                   0                 103       -0.0012030553
                   0                   0                 104        0.0017146698
                   0                   0                 105       -0.0030613869
                   0                   0                 106       -0.0054039204
                   0                   0                 107       -0.0028595570
                   0                   0                 108       -0.0026080212
                   0                   0                 109        0.0043234264
                   0                   0                 110       -0.0008057678
                   0                   0                 111       -0.0091825704
                   0                   0                 112       -0.0114781791
                   0                   0                 113       -0.0045698310
                   0                   0                 114       -0.0128345758
                   0                   0                 115       -0.0127900739
                   0                   0                 116       -0.0028604734
                   0                   0                 117        0.0022178862
                   0                   0                 118       -0.0015306353
                   0                   0                 119        0.0079097186
                   0                   0                 120        0.0020135084
                   0                   0                 121        0.0005043094
                   0                   0                 122        0.0032554196
                   0                   0                 123        0.0064655905
                   0                   0                 124        0.0014803588
                   0                   0                 125        0.0007269210
                   0                   0                 126       -0.0021811632
                   0                   0                 127       -0.0015911301
                   0                   0                 128       -0.0011529501
                   0                   0                 129       -0.0051915975
                   0                   0                 130       -0.0082169245
                   0                   0                 131       -0.0095897501
                   0                   0                 132       -0.0047489467
                   0                   0                 133        0.0030261048
                   0                   0                 134        0.0053472642
                   0                   0                 135        0.0133942462
                   0                   0                 136        0.0169714598
                   0                   0                 137        0.0175318540
                   0                   0                 138        0.0201166229
                   0                   0                 139        0.0255755475
                   0                   0                 140        0.0286674320
                   0                   0                 141        0.0349245744
                   0                   0                 142        0.0419579794
                   0                   0                 143        0.0424788671
                   0                   0                 144        0.0469783437
                   0                   0                 145        0.0472193669
                   0                   0                 146        0.0578032911
                   0                   0                 147        0.0727001066
                   0                   0                 148        0.0855202311
                   0                   0                 149        0.1005054339
                   0                   0                 150        0.1194232150
                   0                   0                 151        0.1476868582
                   0                   0                 152        0.1690084483
                   0                   0                 153        0.2087829063
                   0                   0                 154        0.2644701453
                   0                   0                 155        0.3283531762
                   0                   0                 156        0.4128904873
                   0                   0                 157        0.5057819772
                   0                   0                 158        0.6153081503
                   0                   0                 159        0.7695166537
                   0                   1                   0        0.0416433174
                   0                   1                   1        0.0333658890
                   0                   1                   2        0.0294275116
                   0                   1                   3        0.0276198014
                   0                   1                   4        0.0292485816
                   0                   1                   5        0.0211575002
                   0                   1                   6        0.0203555890
                   0                   1                   7        0.0087772682
                   0                   1                   8        0.0082959079
                   0                   1                   9        0.0133427973
                   0                   1                  10        0.0106165971
                   0                   1                  11        0.0032990398
                   0                   1                  12        0.0009777825
                   0                   1                  13       -0.0031947904
                   0                   1                  14       -0.0085784103
                   0                   1                  15       -0.0030109882
                   0                   1                  16       -0.0044140511
