                 160                  16
                   0                   0                -1.0
                   0                   1                -1.0
                   0                   2                -1.0
                   0                   3                -1.0
                   0                   4                -1.0
                   0                   5                -1.0
                   0                   6                -1.0
                   0                   7                 1.0
                   0                   8                 1.0
                   0                   9                -1.0
                   0                  10                -1.0
                   0                  11                -1.0
                   0                  12                 1.0
                   0                  13                 1.0
                   0                  14                 1.0
                   0                  15                -1.0
                   1                   0                -1.0
                   1                   1                 1.0
                   1                   2                 1.0
                   1                   3                 1.0
                   1                   4                -1.0
                   1                   5                -1.0
                   1                   6                 1.0
                   1                   7                -1.0
                   1                   8                 1.0
                   1                   9                 1.0
                   1                  10                -1.0
                   1                  11                 1.0
                   1                  12                -1.0
                   1                  13                -1.0
                   1                  14                 1.0
                   1                  15                -1.0
                   2                   0                -1.0
                   2                   1                 1.0
                   2                   2                 1.0
                   2                   3                 1.0
                   2                   4                -1.0
                   2                   5                -1.0
                   2                   6                 1.0
                   2                   7                 1.0
                   2                   8                 1.0
                   2                   9                -1.0
                   2                  10                 1.0
                   2                  11                -1.0
                   2                  12                -1.0
                   2                  13                -1.0
                   2                  14                 1.0
                   2                  15                -1.0
                   3                   0                -1.0
                   3                   1                 1.0
                   3                   2                 1.0
                   3                   3                 1.0
                   3                   4                 1.0
                   3                   5                -1.0
                   3                   6                -1.0
                   3                   7                -1.0
                   3                   8                 1.0
                   3                   9                 1.0
                   3                  10                -1.0
                   3                  11                 1.0
                   3                  12                 1.0
                   3                  13                -1.0
                   3                  14                 1.0
                   3                  15                -1.0
                   4                   0                -1.0
                   4                   1                -1.0
                   4                   2                 1.0
                   4                   3                 1.0
                   4                   4                -1.0
                   4                   5                -1.0
                   4                   6                -1.0
                   4                   7                -1.0
                   4                   8                 1.0
                   4                   9                -1.0
                   4                  10                 1.0
                   4                  11                -1.0
                   4                  12                -1.0
                   4                  13                 1.0
                   4                  14                 1.0
                   4                  15                -1.0
                   5                   0                -1.0
                   5                   1                -1.0
                   5                   2                -1.0
                   5                   3                 1.0
                   5                   4                -1.0
                   5                   5                -1.0
